"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20005646,"  5646 (1990 TR)",Y,N,1,4.3,,,,,3.14
20005653,"  5653 Camarillo (1992 WD5)",Y,N,0,1.537,,,,,2.4
20005731,"  5731 Zeus (1988 VP4)",Y,N,0,5.231,,,,,3.41
20005751,"  5751 Zao (1992 AC)",Y,N,0,2.3,,,,,3.05
20005797,"  5797 Bivoj (1980 AA)",Y,N,0,0.4,,,,,2.61
20005828,"  5828 (1991 AM)",Y,N,0,1.457,,,,,2.21
20005836,"  5836 (1993 MF)",Y,N,0,2.754,,,,,3.81
20005863,"  5863 Tara (1983 RB)",Y,N,0,1.345,,,,,3.31
20006050,"  6050 Miwablock (1992 AE)",Y,N,0,2.884,,,,,3.27
20006053,"  6053 (1993 BW3)",Y,N,0,3.720,,,,,3.15
20006063,"  6063 Jason (1984 KB)",Y,N,0,1.4,,,,,3.31
20006178,"  6178 (1986 DA)",Y,N,0,2.3,,0.677,0.267,,4.72
20006455,"  6455 (1992 HE)",Y,N,0,4.626,,,,,3.35
20006489,"  6489 Golevka (1991 JX)",Y,Y,0,0.53,,,,,3.91
20006611,"  6611 (1993 VW)",Y,N,0,1.408,,,,,2.21
20007025,"  7025 (1993 QA)",Y,N,0,0.498,,,,,1.79
20007088,"  7088 Ishtar (1992 AA)",Y,N,1,1.298,,,,,2.79
20007092,"  7092 Cadmus (1992 LC)",Y,N,0,6.319,,,,,4.06
20007335,"  7335 (1989 JA)",Y,Y,1,1.8,,,,,2.36
20007341,"  7341 (1991 VK)",Y,Y,0,0.982,,,,,2.5
20007350,"  7350 (1993 VA)",Y,N,0,1.921,,,,,1.58
20007482,"  7482 (1994 PC1)",Y,Y,0,1.052,,,,,1.57
20007822,"  7822 (1991 CS)",Y,Y,0,1.602,,,,,1.19
20007839,"  7839 (1994 ND)",Y,N,0,0.784,,,,,3.19
20007888,"  7888 (1993 UC)",Y,N,1,2.298,,,,,3.81
20007889,"  7889 (1994 LX)",Y,N,1,1.680,,,,,1.42
20008013,"  8013 Gordonmoore (1990 KA)",Y,N,0,2.3,,,,,3.27
20008014,"  8014 (1990 MF)",Y,Y,0,0.7,,,,,2.31
20008201,"  8201 (1994 AH2)",Y,N,0,1.859,,,,,4.05
20008566,"  8566 (1996 EN)",Y,Y,0,1.568,,,,,1.85
20008567,"  8567 (1996 HW1)",Y,N,0,2.928,,,,,2.92
20009162,"  9162 Kwiila (1987 OA)",Y,N,0,1.127,,,,,1.83
20009202,"  9202 (1993 PB)",Y,N,0,1.617,,,,,1.7
20009400,"  9400 (1994 TW1)",Y,N,0,3.698,,,,,4.16
20009856,"  9856 (1991 EE)",Y,Y,0,1.0,,,,,3.36
20010115," 10115 (1992 SK)",Y,Y,0,0.938,,,,,1.4
20010165," 10165 (1995 BL2)",Y,N,0,0.829,,,,,1.37
20010636," 10636 (1998 QK56)",Y,N,0,0.533,,,,,2.59
20011066," 11066 Sigurd (1992 CC1)",Y,N,0,2.104,,,,,1.64
20011398," 11398 (1998 YP11)",Y,N,0,1.316,,,,,2.26
20011405," 11405 (1999 CV3)",Y,N,0,3.621,,,,,1.76
20011500," 11500 Tomaiyowit (1989 UR)",Y,Y,0,0.738,,,,,1.12
20011885," 11885 Summanus (1990 SS)",Y,N,0,1.298,,,,,2.22
20012538," 12538 (1998 OH)",Y,Y,0,1.663,,,,,1.91
20012923," 12923 Zephyr (1999 GK4)",Y,Y,0,2.060,,,,,2.75
20013651," 13651 (1997 BR)",Y,Y,0,0.562,,,,,1.54
20014402," 14402 (1991 DB)",Y,N,0,0.6,,,,,2.25
20014827," 14827 Hypnos (1986 JK)",Y,Y,0,0.9,,0.684,0.492,,4.79
20016064," 16064 Davidharvey (1999 RH27)",Y,N,0,4.106,,,,,4.81
20016834," 16834 (1997 WU22)",Y,N,0,1.87,,,,,1.78
20017182," 17182 (1999 VU)",Y,N,0,2.885,,,,,1.63
20017188," 17188 (1999 WC2)",Y,N,0,1.819,,,,,3.3
20017274," 17274 (2000 LC16)",Y,N,0,3.183,,,,,4.51
20019356," 19356 (1997 GH3)",Y,N,0,0.91,,,,,3.98
20019764," 19764 (2000 NF5)",Y,N,0,1.572,,,,,3.34
20020460," 20460 Robwhiteley (1999 LO28)",Y,N,0,2.716,,,,,2.57
20020826," 20826 (2000 UV13)",Y,N,0,3.687,,,,,3.76
20021088," 21088 Chelyabinsk (1992 BL2)",Y,N,0,2.793,,,,,2.23
20022099," 22099 (2000 EX106)",Y,N,0,0.524,,,,,1.16
20023183," 23183 (2000 OY21)",Y,N,0,1.098,,,,,2.46
20023606," 23606 (1996 AS1)",Y,N,0,0.866,,,,,2.32
