full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y,pdes,name
18153 (2000 OC61),N,N,0,17.427,,,,,5.5,18153,
18169 Amaldi (2000 QF),N,N,0,23.311,,,,,5.61,18169,Amaldi
18219 (6260 P-L),N,N,0,22.669,,,,,5.69,18219,
18228 Hyperenor (3163 T-1),N,N,0,23.245,,,,,12.1,18228,Hyperenor
18263 Anchialos (5167 T-2),N,N,0,21.331,,,,,11.9,18263,Anchialos
18268 Dardanos (2140 T-3),N,N,0,20.352,,,,,11.7,18268,Dardanos
18278 Dymas (4035 T-3),N,N,0,28.885,,,,,11.8,18278,Dymas
18282 Ilos (4369 T-3),N,N,0,15.422,,,,,12,18282,Ilos
18285 Vladplatonov (1972 GJ),N,N,0,16.250,,,,,4.36,18285,Vladplatonov
18331 (1987 DQ6),N,N,0,27.533,,,,,5.47,18331,
18365 Shimomoto (1990 WN5),N,N,0,15.400,,,,,5.23,18365,Shimomoto
18399 Tentoumushi (1992 WK1),N,N,0,22.987,,,,,5.6,18399,Tentoumushi
18483 (1995 YY2),N,N,0,15.117,,,,,5.55,18483,
18488 (1996 AY3),N,N,0,24.637,,,,,5.66,18488,
18493 Demoleon (1996 HV9),N,N,0,33.474,,,,,12.1,18493,Demoleon
18560 Coxeter (1997 EO7),N,N,0,18.465,,,,,5.56,18560,Coxeter
18568 Thuillot (1997 TL2),N,N,0,16.575,,,,,5.55,18568,Thuillot
18732 (1998 KP19),N,N,0,15.835,,,,,5.89,18732,
18743 (1998 YD5),N,N,0,16.598,,,,,5.75,18743,
18827 (1999 NA26),N,N,0,20.607,,,,,5.34,18827,
18848 (1999 RH41),N,N,0,16.596,,,,,4.65,18848,
18895 (2000 GJ108),N,N,0,22.297,,,,,5.75,18895,
18940 (2000 QV49),N,N,0,21.423,,,,,12,18940,
18958 (2000 QL128),N,N,0,15.139,,,,,6.26,18958,
18963 (2000 QB141),N,N,0,15.511,,,,,4.66,18963,
18971 (2000 QY177),N,N,0,24.839,,,,,11.9,18971,
18984 Olathe (2000 RA8),N,N,0,17.629,,,,,5.86,18984,Olathe
18996 Torasan (2000 RR53),N,N,0,22.734,,,,,5.75,18996,Torasan
19018 (2000 RL100),N,N,0,32.111,,,,,11.9,19018,
19020 (2000 SC6),N,N,0,42.613,,,,,11.9,19020,
19028 (2000 SC165),N,N,0,20.600,,,,,5.54,19028,
19078 (5187 T-3),N,N,0,15.806,,,,,5.6,19078,
19513 (1998 QN7),N,N,0,16.207,,,,,6.22,19513,
19565 (1999 KF4),N,N,0,17.066,,,,,5.39,19565,
19590 (1999 NG18),N,N,0,15.953,,,,,5.84,19590,
19615 (1999 OB3),N,N,0,21.986,,,,,5.16,19615,
19634 (1999 RG45),N,N,0,17.847,,,,,5.63,19634,
19646 (1999 RF102),N,N,0,22.716,,,,,5.26,19646,
19690 (1999 RD212),N,N,0,16.723,,,,,5.64,19690,
19694 Dunkelman (1999 RX230),N,N,0,15.320,,,,,6.7,19694,Dunkelman
19706 (1999 TU11),N,N,0,16.725,,,,,5.63,19706,
19712 (1999 TL220),N,N,0,15.680,,,,,5.59,19712,
19725 (1999 WT4),N,N,0,31.668,,,,,11.6,19725,
19737 (2000 AQ51),N,N,0,47.698,,,,,5.39,19737,
19748 (2000 BD5),N,N,0,19.261,,,,,5.72,19748,
19752 (2000 CH67),N,N,0,23.357,,,,,8,19752,
19844 (2000 ST317),N,N,0,37.972,,,,,11.8,19844,
19852 Jamesalbers (2000 TT58),N,N,0,15.037,,,,,5.69,19852,Jamesalbers
19910 (5078 T-3),N,N,0,16.163,,,,,5.47,19910,
19911 Rigaux (1933 FK),N,N,0,18.341,,,,,5.32,19911,Rigaux
19913 Aigyptios (1973 SU1),N,N,0,24.996,,,,,11.5,19913,Aigyptios
20001 Marinakoren (1991 CM),N,N,0,22.717,,,,,5.49,20001,Marinakoren
20038 Arasaki (1992 UN5),N,N,0,23.979,,,,,7.98,20038,Arasaki
