Display Name,Sun Coords X,Sun Coords Y,Sun Coords Z,Velocity X,Velocity Y,Velocity Z, sec
Ceres,1.513897166306153,-2.503446018026971,-0.3581188748382482,0.008338992021205428,0.004730205251773231,-0.001386603367866793,"10, 25"
Pallas,-0.1632678773404259,-2.624731390788624,1.832576313137094,0.008582368527134312,-0.001947965331429215,0.0006096905312313323,"9, 22"
Vesta,-2.199768222356886,0.8291414279340334,0.2432402851625342,-0.002906740829185219,-0.01077829560621602,0.0006740056545689284,"8, 13"
Astraea,-2.173379177225394,-0.4357054179532455,0.1589961538903212,0.0008984192162620337,-0.01224429744499887,0.0008458724715959248,"7, 15"
Hebe,1.711349396716278,4.756347820846545,-0.05796057480738579,-0.009989547455455838,0.01663541130517726,0.0007599079942389258,"19, 5"
Flora,-1.33959114529956,1.692890017432539,0.06700682369778146,-0.01022512419940236,-0.005795011945219934,0.00119861104218436,"7, 10"
Metis,1.710769634029978,4.756068256107463,-0.05800049266737576,-0.007120182216428564,0.02114941192289571,0.0008046371081893991,"19, 5"
Hygiea,3.073942221646229,1.511044179943815,0.2234982989064147,-0.003408511950122787,0.008159964555344373,-9.796697912309768e-05,"12, 2"
Parthenope,1.799798191700537,1.55256120386732,-0.1917424971095349,-0.006524800936112408,0.00921897397596143,-3.4839822882776e-06,"8, 3"
Victoria,-0.7275229399959181,-1.839896600559607,0.0658631477487728,0.01272122370208674,-0.002691399442104754,0.001765837284032117,"6, 20"
Egeria,1.393482819562196,2.038045287188126,0.1577375864620096,-0.009405168153691135,0.005175132197719056,0.003031008472437917,"8, 4"
Irene,1.825751067092413,4.635442445882028,-0.08528979143501854,-0.007880388528819825,0.001956288579404513,0.0004062199214061617,"18, 5"
Eunomia,1.084317631613659,1.865389724679371,0.3588727044660316,-0.01018720114459477,0.007280971257552955,-0.00136367559959989,"7, 4"
Thetis,2.487147458262445,0.1864418954576616,-0.208794492597383,0.0005679310239765234,0.01076698392756208,-0.0006579606519332468,"8, 0"
Melpomene,-2.200687926690573,1.292859231318338,-0.006124095836747278,-0.006620574578790911,-0.007486500786574987,0.0017480782086762,"9, 12"
Fortuna,1.948168900965105,0.6880766662063907,0.01139952700750646,-0.004683243537769389,0.01196710904500653,-0.0003480255942502106,"7, 1"
Massalia,2.369692635409368,0.3250244017558524,0.009234112504259998,-0.003087474832305945,0.0107231098691197,-0.0001360901388189899,"8, 0"
Lutetia,-1.415833624027231,2.369813115758435,0.09503747511679858,-0.008684860844034744,-0.00413367696279732,0.0004237983450864673,"10, 10"
Kalliope,0.7556354517674987,-2.985488412141164,-0.4646254570068958,0.008708003837021873,0.003143596555983758,-0.001627101323654263,"11, 23"
Thalia,-1.683079606804887,-1.987117682584705,0.1338586857216076,0.00617557447337549,-0.008581046920955777,-0.001619973190936924,"9, 19"
Phocaea,-0.0630147124013387,-1.76647848590413,0.5654467959135415,0.01363785981391601,0.002003583678823696,0.00237069733761646,"6, 22"
Proserpina,0.7589154450186364,2.781663121160865,0.08686450227155079,-0.009393550478381625,0.002312991631654047,0.0005186698585004445,"10, 6"
Euterpe,-0.6265470581003603,-2.659241707255886,0.02336771755331033,0.009135030845766116,-0.002657464362764139,-0.0002455288006382599,"9, 21"
Bellona,-0.3180762256702417,2.367392913173951,-0.2875432583810478,-0.01152179193944805,-0.00217534558560958,0.001412122653430895,"8, 8"
Amphitrite,-0.8284680377717051,2.27181689105011,0.2356064952872712,-0.01082125735730752,-0.003236380185845009,-0.0004189363128882661,"8, 9"
Urania,-1.460982641442372,-2.195447913079339,-0.09116868614233012,0.00857257969087276,-0.005070555164756062,0.0001363346005856446,"9, 19"
Euphrosyne,-3.003384470716562,-0.7971479709543483,0.4220306866835903,-0.0003347335132236313,-0.00899983736117014,-0.003739128259133477,"11, 16"
Pomona,2.690299500395439,-0.5919117746090248,0.2120467044439123,0.002624642337278393,0.009624593932449816,-0.0005446906541732259,"10, 28"
Polyhymnia,1.724546143128892,1.174560745259447,0.02939473576362219,-0.00525828976015543,0.01236106576898893,0.00042030213288026,"7, 2"
Circe,2.93582594653029,0.0319511981581911,0.01825065047783244,-0.0006000195091562101,0.009497234913341366,-0.0009158661643904499,"10, 0"
Leukothea,1.576849662110667,3.081286229087041,0.448181829985731,-0.008019818987141103,0.002620850090948567,0.0002301652667240163,"12, 5"
Atalante,0.794800672555601,1.667339645122007,0.561804591780453,-0.01234665549277198,0.006498867817325678,0.002027383981867391,"6, 5"
Fides,-2.568163661522163,0.5550165777557092,0.04686986985528457,-0.004037852900417908,-0.00983158532371672,-0.0004955426651564941,"9, 13"
Leda,1.647001534238667,4.733355132598157,-0.05013225827071963,-0.006617972633023312,0.001100565095705286,0.001142184248532703,"19, 5"
Laetitia,2.377029225400127,0.5755090134736782,-0.2673904448518832,-0.002727327421946429,0.01110943501302154,-0.001674891833985814,"8, 1"
Harmonia,1.710043968948169,-1.358520552226671,-0.1195928978083195,0.007048258766159356,0.00948926362925492,-0.000574305220279467,"7, 26"
Daphne,1.917187819481637,2.803697169399916,-0.8092073624074962,-0.006932308558712937,0.003691328220371765,-0.0009684587647455717,"12, 4"
Isis,1.349728891358845,-1.321653552721097,-0.2210470537800358,0.009325383868656044,0.01007632710210739,-0.001235054248621259,"6, 26"
Ariadne,1.059869593841582,-1.520898285560957,0.07245515491573404,0.01156555857952575,0.007106459806397207,0.000659034301740206,"6, 25"
Nysa,2.517564248823799,-0.7722092889656837,-0.08916844411617815,0.001747943379558047,0.009956216523487741,-0.0005128833745896106,"9, 28"
